,2021_renew,2021_gdp
0,0.006113553,14786861638.5
1,0.078631899,18255787479.2
2,0.007955883,163044443983.8
3,4.3865e-05,709000000.0
4,0.102802014,67404287260.3
6,0.000171249,1471125925.9
7,0.331439511,487227339102.7
8,0.020116489,13861409968.8
9,0.001287104,3126019399.1
10,0.628734882,1552667363236.1
11,0.457379451,480368403893.4
12,0.014188573,54622176470.6
13,0.000107031,38868663031.9
14,0.01197146,416264942893.3
15,0.000706402,4843800000.0
16,0.011813777,68205380706.7
17,0.1995789,594104177539.5
18,0.00210552,2491500000.0
19,7.07104e-05,17144918952.5
20,0.0,7286607000.0
21,0.078965773,2539552984.7
22,0.036083349,40408208528.2
23,0.063086643,23365361635.2
24,5.2638e-05,17614791265.7
25,4.408481737,1608981456325.1
26,1.42628e-05,0.0
27,2.14061e-05,14006569575.7
28,0.073055775,84056312734.3
29,0.002054882,19737615114.4
31,0.002051022,2779813489.0
32,0.000640429,1936174043.5
33,0.039068359,26961061119.8
34,0.04404046,45338283344.8
35,3.749961964,1988336331717.4
36,0.000184233,5898449688.0
37,0.00131595,2516498299.0
38,0.000166687,11779980801.8
39,0.356844249,317058508651.8
40,20.73309455,17734062645371.4
41,0.530766068,314464137241.3
42,0.0,1296089632.6
43,0.007906403,13366230219.5
46,0.111519867,64282438666.7
47,0.091421312,68955083280.2
48,0.008249772,0.0
49,0.006820446,28407867534.0
50,0.088871473,281777887121.5
51,0.029047403,70043191477.0
52,0.224796698,398303272764.5
53,1.07031e-05,3482987379.1
54,0.000361598,554181481.5
55,0.026244853,94243453937.4
56,0.228875384,106165866000.0
57,0.204968985,404142766093.1
58,0.048431127,28736940000.0
59,0.00386012,12269392839.7
60,0.000149141,0.0
61,0.027676195,37191166152.0
62,0.003875264,4743335152.9
63,0.128727106,111271112330.0
65,0.001377361,3649886275.1
66,0.006057342,4296304590.0
67,0.328893675,297301883523.3
70,0.0,0.0
71,0.0,39853501579.8
72,1.080917226,2957879759263.5
73,0.0,0.0
74,0.001974802,6054676735.4
75,0.008890909,20216843174.0
76,2.71963e-05,2038417462.4
77,0.090054845,18629365597.0
78,2.044110007,4259934911821.6
80,0.0,4259934911821.6
81,0.06395517,77594279054.9
82,0.0,0.0
83,0.190024504,214873879833.6
84,0.0043865,0.0
85,4.45668e-05,1122807407.4
87,0.000736174,6123000000.0
88,0.083857668,85985752107.5
89,0.017730233,16091817842.2
90,1.7546e-05,1638517533.2
91,0.000828171,8044498801.0
92,0.001172599,20944392615.1
94,0.057368807,28488668301.6
95,0.001413398,369176400967.4
96,0.061306807,181848022233.9
97,0.168972616,25602419210.3
98,2.987912683,3176295065497.2
99,0.492963643,1186092991320.0
100,0.142510367,359713152725.1
101,0.046295121,207889333724.1
102,0.100641246,504182603275.5
103,0.043908865,488526545878.9
104,1.010583557,2107702842669.7
105,0.005327667,14657586937.1
106,1.816935341,4940877780755.3
107,0.044612132,45744271658.9
108,0.110757361,197112255360.6
109,0.095486829,110347079517.4
110,4.2435e-05,207031250.0
111,0.003830599,9412034299.2
112,0.000464969,0.0
115,0.031415158,39853501579.8
116,0.009895944,23131940280.7
117,0.004397203,2496134680.3
118,3.5092e-05,3509000000.0
119,7.0184e-05,42817472975.4
120,0.023020165,66445256585.4
121,0.009160171,85506243833.8
123,0.006522462,14472603322.6
124,0.010741927,12626717491.9
125,0.262150371,372980957208.0
126,0.000445668,5405576235.8
127,0.009588889,19140461605.8
128,0.002312387,17364044943.8
130,0.004376962,9996249658.2
131,0.006055646,11529042672.4
132,0.677154269,1272839334119.3
133,0.0,404028900.0
134,0.003833801,13679221333.2
135,0.006106008,15286441818.1
136,0.013858925,5861268038.8
138,0.07176886,142866329198.4
139,0.14203487,15776758632.9
140,0.013141954,12310595843.9
141,3.21092e-05,133218896.9
142,0.053664441,36288830373.4
143,0.341452191,1012846760976.7
144,0.002389551,1012846760976.7
145,0.004024177,10071351960.0
146,0.313228339,249885687029.6
147,0.024130721,14013022092.1
148,0.000403558,14915001427.0
149,0.070763018,440833583992.5
152,0.014351135,13825049831.8
153,0.0,0.0
154,1.372424649,482174854482.0
155,0.001369992,88191977373.2
156,0.40358138,348262544719.2
158,0.073222524,63605100000.0
159,0.010898723,26594305745.6
160,0.351106093,39495431574.2
161,0.308181304,223249497500.4
162,0.201192788,394086401171.2
163,0.271070498,679444832854.3
164,0.273242031,253663144586.0
165,0.004313029,106525700000.0
166,0.001258328,179677211793.9
168,0.229811784,284087563695.8
169,1.973055561,1778782625793.7
170,0.004456684,11070356519.5
173,2.77402e-05,1691275156.6
174,0.0,1799023437650.1
175,0.000377239,904181492.8
176,0.000562612,843842416.5
177,8.773e-05,526653790.7
178,0.008390322,833541236569.3
179,0.009969394,27625388352.2
180,0.1106062,63082047649.9
181,0.000684119,1454458183.9
182,0.001666361,4042237864.3
183,0.021941273,396986899888.4
185,0.047537651,61748586534.9
186,6.04898e-05,1631486531.9
187,0.000311266,7628000011.5
188,0.147669987,419015018371.9
190,8.773e-05,0.0
191,1.078590922,1427380681294.6
192,0.052708368,88927263724.9
193,0.088949349,34326058557.4
194,0.008969185,2984706243.7
195,0.989263317,635663801201.8
196,0.366670171,800640155387.3
197,0.006904351,0.0
199,0.157914,8746270636.4
200,0.028126238,67841049193.4
201,0.290084509,505947037098.4
203,1.7546e-05,3621222382.2
204,0.001476496,8413200567.6
205,8.773e-05,469231309.5
206,5.2638e-05,24460196270.7
207,0.008727762,46686741814.3
208,1.021107172,819035182929.6
209,2.767e-05,0.0
210,1.07031e-05,943269800.0
211,0.0,63100961.5
213,0.0,0.0
215,0.038060241,40529789025.6
216,0.144900132,200085537744.4
217,0.058758922,415021590683.0
218,1.053845646,3131377762926.0
219,12.3346713,23315080560000.0
220,0.119688284,59319484710.7
221,0.043952107,69238903106.2
222,0.000116057,956332655.7
223,0.536021352,0.0
224,0.7762482,366137590600.7
225,0.0,9481916212.1
226,0.0,840187283626.4
227,0.005244499,0.0
228,0.142991022,22147634727.4
229,0.036331353,28371238665.5
